year,ncessch,ncessch_num,grade,race,sex,enrollment,fips,leaid
2021,010156001365,10156001365,-1,99,99,130.0,1,0101560
2021,010159000541,10159000541,-1,99,99,17.0,1,0101590
2021,010159000542,10159000542,-1,99,99,19.0,1,0101590
2021,010159000547,10159000547,-1,99,99,18.0,1,0101590
2021,010159000548,10159000548,-1,99,99,18.0,1,0101590
2021,010159001861,10159001861,-1,99,99,23.0,1,0101590
2021,010159002475,10159002475,-1,99,99,22.0,1,0101590
2021,010162000551,10162000551,-1,99,99,25.0,1,0101620
2021,010162000555,10162000555,-1,99,99,4.0,1,0101620
2021,010162000563,10162000563,-1,99,99,1.0,1,0101620
2021,010162000564,10162000564,-1,99,99,21.0,1,0101620
2021,010162000565,10162000565,-1,99,99,3.0,1,0101620
2021,010162001517,10162001517,-1,99,99,30.0,1,0101620
2021,010162001665,10162001665,-1,99,99,21.0,1,0101620
2021,010162001666,10162001666,-1,99,99,11.0,1,0101620
2021,010164000568,10164000568,-1,99,99,24.0,1,0101640
2021,010166001771,10166001771,-1,99,99,39.0,1,0101660
2021,010166001791,10166001791,-1,99,99,36.0,1,0101660
2021,010166001793,10166001793,-1,99,99,36.0,1,0101660
2021,010168001452,10168001452,-1,99,99,35.0,1,0101680
2021,010169000581,10169000581,-1,99,99,75.0,1,0101690
2021,010171000589,10171000589,-1,99,99,62.0,1,0101710
2021,010171002158,10171002158,-1,99,99,58.0,1,0101710
2021,010172001795,10172001795,-1,99,99,52.0,1,0101720
2021,010173000328,10173000328,-1,99,99,50.0,1,0101730
2021,010173000596,10173000596,-1,99,99,66.0,1,0101730
2021,010173000597,10173000597,-1,99,99,45.0,1,0101730
2021,010174000602,10174000602,-1,99,99,37.0,1,0101740
2021,010174000603,10174000603,-1,99,99,47.0,1,0101740
2021,010176000607,10176000607,-1,99,99,20.0,1,0101760
2021,010177000616,10177000616,-1,99,99,20.0,1,0101770
2021,010177001668,10177001668,-1,99,99,36.0,1,0101770
2021,010177002078,10177002078,-1,99,99,27.0,1,0101770
2021,010177002507,10177002507,-1,99,99,47.0,1,0101770
2021,010177002508,10177002508,-1,99,99,22.0,1,0101770
2021,010180000533,10180000533,-1,99,99,42.0,1,0101800
2021,010180000618,10180000618,-1,99,99,32.0,1,0101800
2021,010180000620,10180000620,-1,99,99,18.0,1,0101800
2021,010180000621,10180000621,-1,99,99,18.0,1,0101800
2021,010180000622,10180000622,-1,99,99,26.0,1,0101800
2021,010180000623,10180000623,-1,99,99,26.0,1,0101800
2021,010180000624,10180000624,-1,99,99,17.0,1,0101800
2021,010180000628,10180000628,-1,99,99,20.0,1,0101800
2021,010180000630,10180000630,-1,99,99,17.0,1,0101800
2021,010180000634,10180000634,-1,99,99,28.0,1,0101800
2021,010180000635,10180000635,-1,99,99,26.0,1,0101800
2021,010180000638,10180000638,-1,99,99,60.0,1,0101800
2021,010180000639,10180000639,-1,99,99,17.0,1,0101800
2021,010180000640,10180000640,-1,99,99,14.0,1,0101800
2021,010180000642,10180000642,-1,99,99,31.0,1,0101800
2021,010180000643,10180000643,-1,99,99,44.0,1,0101800
2021,010180000644,10180000644,-1,99,99,17.0,1,0101800
2021,010180000650,10180000650,-1,99,99,23.0,1,0101800
2021,010180000651,10180000651,-1,99,99,36.0,1,0101800
2021,010180000653,10180000653,-1,99,99,18.0,1,0101800
2021,010180001529,10180001529,-1,99,99,15.0,1,0101800
2021,010180001773,10180001773,-1,99,99,35.0,1,0101800
2021,010180001796,10180001796,-1,99,99,44.0,1,0101800
2021,010180002172,10180002172,-1,99,99,57.0,1,0101800
2021,010180002173,10180002173,-1,99,99,39.0,1,0101800
2021,010180002425,10180002425,-1,99,99,42.0,1,0101800
2021,010183000654,10183000654,-1,99,99,23.0,1,0101830
2021,010183000656,10183000656,-1,99,99,13.0,1,0101830
2021,010183000657,10183000657,-1,99,99,17.0,1,0101830
2021,010183000658,10183000658,-1,99,99,0.0,1,0101830
2021,010183000659,10183000659,-1,99,99,13.0,1,0101830
2021,010183000662,10183000662,-1,99,99,18.0,1,0101830
2021,010183000666,10183000666,-1,99,99,13.0,1,0101830
2021,010183000667,10183000667,-1,99,99,18.0,1,0101830
2021,010183000668,10183000668,-1,99,99,18.0,1,0101830
2021,010183000671,10183000671,-1,99,99,19.0,1,0101830
2021,010183000888,10183000888,-1,99,99,0.0,1,0101830
2021,010183001532,10183001532,-1,99,99,15.0,1,0101830
2021,010183001533,10183001533,-1,99,99,35.0,1,0101830
2021,010183001674,10183001674,-1,99,99,1.0,1,0101830
2021,010186000672,10186000672,-1,99,99,29.0,1,0101860
2021,010189000677,10189000677,-1,99,99,64.0,1,0101890
2021,010192000483,10192000483,-1,99,99,28.0,1,0101920
2021,010192000681,10192000681,-1,99,99,1.0,1,0101920
2021,010192000684,10192000684,-1,99,99,17.0,1,0101920
2021,010192000691,10192000691,-1,99,99,18.0,1,0101920
2021,010192000692,10192000692,-1,99,99,1.0,1,0101920
2021,010192000694,10192000694,-1,99,99,51.0,1,0101920
2021,010192000695,10192000695,-1,99,99,34.0,1,0101920
2021,010192000696,10192000696,-1,99,99,19.0,1,0101920
2021,010192000697,10192000697,-1,99,99,15.0,1,0101920
2021,010192000699,10192000699,-1,99,99,32.0,1,0101920
2021,010192000703,10192000703,-1,99,99,49.0,1,0101920
2021,010192000705,10192000705,-1,99,99,16.0,1,0101920
2021,010192000710,10192000710,-1,99,99,15.0,1,0101920
2021,010192000716,10192000716,-1,99,99,0.0,1,0101920
2021,010192000718,10192000718,-1,99,99,17.0,1,0101920
2021,010192000720,10192000720,-1,99,99,6.0,1,0101920
2021,010192000724,10192000724,-1,99,99,0.0,1,0101920
2021,010192000727,10192000727,-1,99,99,31.0,1,0101920
2021,010192000729,10192000729,-1,99,99,0.0,1,0101920
2021,010192000730,10192000730,-1,99,99,17.0,1,0101920
2021,010192000733,10192000733,-1,99,99,64.0,1,0101920
2021,010192000736,10192000736,-1,99,99,27.0,1,0101920
2021,010192000740,10192000740,-1,99,99,16.0,1,0101920
2021,010192000749,10192000749,-1,99,99,33.0,1,0101920
2021,010192000750,10192000750,-1,99,99,0.0,1,0101920
2021,010192001453,10192001453,-1,99,99,35.0,1,0101920
2021,010192001539,10192001539,-1,99,99,13.0,1,0101920
2021,010192001680,10192001680,-1,99,99,52.0,1,0101920
2021,010192002495,10192002495,-1,99,99,30.0,1,0101920
2021,010195000756,10195000756,-1,99,99,22.0,1,0101950
2021,010195000757,10195000757,-1,99,99,28.0,1,0101950
2021,010195001720,10195001720,-1,99,99,28.0,1,0101950
2021,010198001544,10198001544,-1,99,99,37.0,1,0101980
2021,010201000765,10201000765,-1,99,99,52.0,1,0102010
2021,010201000767,10201000767,-1,99,99,75.0,1,0102010
2021,010201000770,10201000770,-1,99,99,33.0,1,0102010
2021,010201000772,10201000772,-1,99,99,54.0,1,0102010
2021,010201000773,10201000773,-1,99,99,29.0,1,0102010
2021,010201000774,10201000774,-1,99,99,13.0,1,0102010
2021,010201000775,10201000775,-1,99,99,57.0,1,0102010
2021,010201001545,10201001545,-1,99,99,86.0,1,0102010
